70.52	         -105.2
182.832	         -96.22
171.008	         -83.57
211.76	         -83.95
109.792	         -94.62
181.52	         -90.87
157.088	         -89.06
296.336	         -75.58
188.064	         -99.85
114.896	         -87.01
219.328	         -85.14
330.56	         -69.81
404.44	         -74.58
433.48	         -74.89
764.90	         -74.33
312.00	         -71.90
629.18	         -74.78
136.19	         -75.68
225.38	         -76.27
431.50	         -74.59
746.04	         -76.36
160.81	         -75.02
514.15	         -75.92
72.528	         -91.21
84.464	         -87.31
133.712	         -81.09
159.744	         -91.55
162.208	         -82.38
409.52	         -83.16
76.112	         -94.34
135.2	         -87.61
209.2	         -83.37
915.90	         -83.54
351.50	         -73.43
442.60	         -81.17
667.52	         -87.20
280.50	         -78.69
517.92	         -85.85
216.40	         -104.8
211.23	         -79.30
218.65	         -93.47
37.448	         -90.99
109.088	         -79.88
110.656	         -77.36
152.944	         -73.74
79.88	         -89.85
189.584	         -79.48
160.432	         -81.39
263.328	         -80.50
89.472	         -90.56
138.624	         -84.79
164.272	         -76.57
257.29	         -84.56
257.65	         -77.30
371.46	         -76.17
763.94	         -73.69
235.93	         -80.35
472.50	         -74.58
89.67	         -89.33
188.04	         -79.66
398.98	         -80.30
1945.92	         -76.43
69.25	         -91.61
145.04	         -83.01
305.30	         -77.22
